arm,stratum,k,age,dropped,regime,mechanisms,target_frac,n_top,b1,b2,n_dropped,lev_hit,lam_ratio
C,0,8,3.0,"[8, 9, 12, 19, 21, 22, 27, 39]",,,,,0.8222222222222222,0.5333333333333333,8,0.21563014068782407,0.7836884890252284
C,0,8,3.0,"[9, 17, 18, 25, 31, 35, 41, 44]",,,,,0.8222222222222222,0.5333333333333333,8,0.060870638485746906,0.9962206229951872
C,0,8,3.0,"[7, 15, 18, 22, 23, 34, 36, 39]",,,,,0.8222222222222222,0.5333333333333333,8,0.17548798456311923,0.9961460261572134
C,0,8,3.0,"[2, 3, 11, 16, 17, 23, 41, 43]",,,,,0.8222222222222222,0.5333333333333333,8,0.07829725129589427,0.9968670841986143
C,0,8,3.0,"[0, 10, 12, 13, 15, 16, 29, 44]",,,,,0.8222222222222222,0.5333333333333333,8,0.061294689429961316,0.9965609922815248
C,0,8,3.0,"[1, 2, 12, 17, 20, 29, 35, 42]",,,,,0.8222222222222222,0.5333333333333333,8,0.2210829851464255,0.9921242876838278
C,0,8,3.0,"[0, 9, 12, 19, 20, 21, 23, 30]",,,,,0.8222222222222222,0.5333333333333333,8,0.06259912505536525,0.9985117997801768
C,0,8,3.0,"[6, 7, 10, 20, 31, 34, 36, 40]",,,,,0.8222222222222222,0.5333333333333333,8,0.19396419143968496,0.9954268456547506
C,0,8,3.0,"[10, 12, 15, 18, 30, 38, 43, 44]",,,,,0.8222222222222222,0.5333333333333333,8,0.0126259193942843,0.9992507238279525
C,0,8,3.0,"[7, 8, 15, 20, 31, 35, 41, 42]",,,,,0.8222222222222222,0.5333333333333333,8,0.38457397313586666,0.7805006636627358
C,0,8,3.0,"[3, 11, 18, 23, 32, 33, 34, 36]",,,,,0.8222222222222222,0.5333333333333333,8,0.04606197174157151,0.9987203591786056
C,0,8,3.0,"[4, 5, 27, 28, 31, 42, 43, 44]",,,,,0.8222222222222222,0.5333333333333333,8,0.19106937457314863,0.9932667324372024
C,0,8,3.0,"[5, 22, 25, 28, 34, 35, 37, 40]",,,,,0.8222222222222222,0.5333333333333333,8,0.03301112906318886,0.9967378694134592
C,0,8,3.0,"[1, 3, 17, 18, 21, 22, 40, 44]",,,,,0.8222222222222222,0.5333333333333333,8,0.20753582023444425,0.9927968604475204
C,0,8,3.0,"[8, 10, 19, 22, 27, 35, 42, 44]",,,,,0.8222222222222222,0.5333333333333333,8,0.19200673014233108,0.7838658031878624
C,0,8,3.0,"[10, 11, 14, 25, 32, 33, 34, 42]",,,,,0.8222222222222222,0.5333333333333333,8,0.06320902783156014,0.9963014671095389
C,1,16,3.0,"[5, 6, 7, 8, 11, 12, 15, 22, 26, 27, 32, 34, 36, 38, 43, 44]",,,,,0.6444444444444445,1.0666666666666667,16,0.42871739388152014,0.7747893068001918
C,1,16,3.0,"[0, 4, 5, 7, 8, 11, 15, 18, 21, 23, 25, 37, 38, 40, 43, 44]",,,,,0.6444444444444445,1.0666666666666667,16,0.6272915383684282,0.7744835452924153
C,1,16,3.0,"[0, 3, 5, 10, 11, 14, 15, 20, 24, 25, 28, 37, 38, 39, 43, 44]",,,,,0.6444444444444445,1.0666666666666667,16,0.14590574900672046,4.902680133595825e-13
C,1,16,3.0,"[2, 6, 9, 13, 14, 16, 19, 22, 24, 25, 26, 29, 30, 35, 41, 43]",,,,,0.6444444444444445,1.0666666666666667,16,0.17485298754836423,4.858825456693001e-13
C,1,16,3.0,"[1, 5, 6, 7, 10, 12, 14, 16, 20, 22, 26, 28, 30, 34, 38, 40]",,,,,0.6444444444444445,1.0666666666666667,16,0.46358052832486174,0.9830855363590634
C,1,16,3.0,"[0, 1, 5, 6, 7, 10, 13, 15, 21, 22, 27, 29, 32, 36, 39, 41]",,,,,0.6444444444444445,1.0666666666666667,16,0.37858485798748975,0.9883642725218511
C,1,16,3.0,"[0, 10, 11, 12, 13, 14, 19, 22, 23, 27, 29, 30, 34, 35, 42, 43]",,,,,0.6444444444444445,1.0666666666666667,16,0.0541104525581526,0.9984465904032321
C,1,16,3.0,"[3, 14, 15, 17, 19, 21, 22, 26, 27, 29, 32, 34, 35, 38, 43, 44]",,,,,0.6444444444444445,1.0666666666666667,16,0.053241741410854054,0.9955104085718068
C,1,16,3.0,"[9, 11, 20, 21, 22, 23, 24, 27, 32, 34, 35, 37, 38, 42, 43, 44]",,,,,0.6444444444444445,1.0666666666666667,16,0.1104956639422671,0.9948231897419825
