seed,level,run_id,events,b1_mean,b1_std,b1_min,b1_max,b2_mean,b2_std,b2_min,b2_max,n_rx_mean,n_rx_std,n_rx_min,n_rx_max,u_lmax_mean,u_lmax_std,u_lmax_min,u_lmax_max,u_trace_mean,u_trace_std,u_trace_min,u_trace_max,held_mean,held_std,held_min,held_max
4,bw00_floor,paper1_s004_bw00_floor,1100,0.0,0.0,0.0,0.0,6606.0,3810.5102020595614,12.0,13200.0,538.0,0.0,538.0,538.0,0.39997816612601017,0.0,0.39997816612601017,0.39997816612601017,0.23700134147159677,0.0,0.23700134147159677,0.23700134147159677,0.0,0.0,0.0,0.0
4,bw01_10kbps,paper1_s004_bw01_10kbps,1100,0.8403434343434343,0.18389908088906168,0.0,1.0,17.51131313131313,30.084409957951816,1.0444444444444445,134.86666666666667,575.8154545454546,8.275458640007775,538.0,583.0,0.09532454999925989,0.17034723505492835,6.941940675424766e-07,0.39997816612601017,0.04544607817800446,0.08595344995180051,2.118153620628662e-06,0.2369929809468836,0.2396212121212121,0.42160660484273205,0.0,1.0
4,bw02_100kbps,paper1_s004_bw02_100kbps,1100,0.8403434343434343,0.18389908088906168,0.0,1.0,17.505070707070708,30.087281380797045,1.0444444444444445,134.86666666666667,575.8154545454546,8.275458640007775,538.0,583.0,0.09532454575135169,0.17034723742983737,6.938735192153011e-07,0.39997816612601017,0.04544607186518801,0.08595345264964428,2.118153620628662e-06,0.2369929809468836,0.23681818181818182,0.4197196963543709,0.0,1.0
4,bw03_1mbps,paper1_s004_bw03_1mbps,1100,0.8403434343434343,0.18389908088906168,0.0,1.0,17.50432323232323,30.087627678737878,1.0444444444444445,134.86666666666667,575.8154545454546,8.275458640007775,538.0,583.0,0.09532454548483299,0.17034723757880488,6.938735192153011e-07,0.39997816612601017,0.0454460705320892,0.0859534533541339,2.118153620628662e-06,0.2369929809468836,0.24386363636363637,0.42431640994474046,0.0,1.0
4,bw04_oracle,paper1_s004_bw04_oracle,1100,0.8412525252525253,0.1820660891273315,0.4666666666666667,1.0,16.845353535353535,29.604531436131573,1.0444444444444445,133.86666666666667,575.8563636363637,8.192974010729918,559.0,583.0,0.09532389395657719,0.17034760120126674,1.044682902865589e-07,0.39997816612601017,0.045443871187220986,0.08595287887865755,1.149352389603433e-06,0.2369929809468836,1.0,0.0,1.0,1.0
5,bw00_floor,paper1_s005_bw00_floor,1100,0.0,0.0,0.0,0.0,6606.0,3810.5102020595614,12.0,13200.0,538.0,0.0,538.0,538.0,0.39997816612601017,0.0,0.39997816612601017,0.39997816612601017,0.23700134147159677,0.0,0.23700134147159677,0.23700134147159677,0.0,0.0,0.0,0.0
5,bw01_10kbps,paper1_s005_bw01_10kbps,1100,0.8403434343434343,0.18389908088906168,0.0,1.0,17.505555555555553,30.087315673253368,1.0444444444444445,134.86666666666667,575.8154545454546,8.275458640007775,538.0,583.0,0.09532453709469435,0.1703472422766046,7.058859693871728e-07,0.39997816612601017,0.045446047092932824,0.08595346195146501,2.0986543987266673e-06,0.23699345559453205,0.23575757575757575,0.4195195445997645,0.0,1.0
5,bw02_100kbps,paper1_s005_bw02_100kbps,1100,0.8403434343434343,0.18389908088906168,0.0,1.0,17.49909090909091,30.09033951383655,1.0444444444444445,134.86666666666667,575.8154545454546,8.275458640007775,538.0,583.0,0.09532453302499992,0.17034724455212616,7.058859693871728e-07,0.39997816612601017,0.04544604109948834,0.0859534627625162,2.0986543987266673e-06,0.23699345559453205,0.23742424242424245,0.4205196782748047,0.0,1.0
5,bw03_1mbps,paper1_s005_bw03_1mbps,1100,0.8403434343434343,0.18389908088906168,0.0,1.0,17.498262626262626,30.090724100488938,1.0444444444444445,134.86666666666667,575.8154545454546,8.275458640007775,538.0,583.0,0.09532453250634097,0.17034724484235128,7.058859693871728e-07,0.39997816612601017,0.04544603967654367,0.08595346340473654,2.0986543987266673e-06,0.23699345559453205,0.23742424242424245,0.4205196782748047,0.0,1.0
5,bw04_oracle,paper1_s005_bw04_oracle,1100,0.8412525252525253,0.1820660891273315,0.4666666666666667,1.0,16.839353535353535,29.607534154066524,1.0444444444444445,133.86666666666667,575.8563636363637,8.192974010729918,559.0,583.0,0.09532388106630087,0.17034760841555097,1.044682902865589e-07,0.39997816612601017,0.04544384038526388,0.08595288884502485,1.149352389603433e-06,0.23699345559453205,1.0,0.0,1.0,1.0
