event_id,arm,regime,stratum,configured_b1,configured_b2,lev_hit,precomputed_lam_ratio,expected_availability,mean_configured_age,mean_freshness,lam_min,lam_ratio,observability_loss,u_lmax,u_trace
16,C,,0,0.8222222222222222,0.5333333333333333,0.2111822400109932,0.7833237528237093,0.8222222222222222,0.5333333333333333,0.8222222222222222,4.455302303670059,0.7833237528214004,0.21667624717859957,0.00011050346560026143,5.9914471027351484e-05
17,C,,0,0.8222222222222222,0.5333333333333333,0.0401394850567878,0.9990732605454284,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.682418518785262,0.9990732605439673,0.0009267394560327213,3.7066860679558294e-07,8.026882520297911e-06
18,C,,0,0.8222222222222222,0.5333333333333333,0.2390203387945067,0.9915209983664184,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.6394635962940205,0.9915209983640756,0.00847900163592441,3.4171573935735442e-06,8.824972694883668e-06
19,C,,0,0.8222222222222222,0.5333333333333333,0.2378974536875573,0.9913066924244464,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.638244690639309,0.9913066924232649,0.008693307576735143,3.504282361447532e-06,5.506969413477159e-06
20,C,,0,0.8222222222222222,0.5333333333333333,0.2677874952415754,4.89426521440243e-13,0.8222222222222222,0.5333333333333333,0.8222222222222222,2.7837062107730253e-12,4.894265410404905e-13,0.9999999999995106,0.3999781661248581,0.11830261864886742
21,C,,0,0.8222222222222222,0.5333333333333333,0.0277310224637452,0.9988012498630354,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.6808714064896355,0.9988012498639179,0.0011987501360820607,4.795953478937328e-07,2.340705625864586e-06
22,C,,0,0.8222222222222222,0.5333333333333333,0.2011372086425655,0.7835121143891294,0.8222222222222222,0.5333333333333333,0.8222222222222222,4.456373645792099,0.7835121143902439,0.21648788560975607,0.00011038089358993056,5.903330618567993e-05
23,C,,0,0.8222222222222222,0.5333333333333333,0.0659975780647178,0.9958135704662394,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.663878413665501,0.9958135704645419,0.004186429535458114,1.6799246841116897e-06,4.082062602767007e-06
24,C,,0,0.8222222222222222,0.5333333333333333,0.0735958004657988,4.894265407788812e-13,0.8222222222222222,0.5333333333333333,0.8222222222222222,2.783706127151897e-12,4.894265263383645e-13,0.9999999999995106,0.3999781661248581,0.11831344516868574
25,C,,0,0.8222222222222222,0.5333333333333333,0.2747524996381234,0.9541257801128088,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.426771205159139,0.9541257801129841,0.0458742198870159,1.9211801511543025e-05,1.690286529261828e-05
26,C,,0,0.8222222222222222,0.5333333333333333,0.3929713341011464,0.7790947328489269,0.8222222222222222,0.5333333333333333,0.8222222222222222,4.431248951070288,0.7790947328487561,0.22090526715124392,0.00011327098742824818,6.0187535532411404e-05
27,C,,0,0.8222222222222222,0.5333333333333333,0.1771495456012727,0.996186758856724,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.666000993384515,0.9961867588584675,0.003813241141532475,1.5295995053750231e-06,7.662519174680562e-06
28,C,,0,0.8222222222222222,0.5333333333333333,0.0593398428663016,0.9957309760518128,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.66340864228298,0.9957309760506855,0.004269023949314499,1.7132100107618789e-06,1.3536524452545627e-05
29,C,,0,0.8222222222222222,0.5333333333333333,0.3803605127535456,0.7798074007535315,0.8222222222222222,0.5333333333333333,0.8222222222222222,4.435302384832386,0.7798074007509371,0.22019259924906287,0.00011280250860499915,6.083708653096362e-05
30,C,,0,0.8222222222222222,0.5333333333333333,0.0167735283290371,0.999480943616123,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.684737293522555,0.9994809436158134,0.0005190563841865892,2.0752273561174733e-07,1.3504169124896494e-06
31,C,,0,0.8222222222222222,0.5333333333333333,0.2245519477795357,0.9953772290759458,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.661396639306493,0.9953772290735317,0.004622770926468345,1.8558315217642268e-06,3.005045080510124e-06
32,C,,0,0.8222222222222222,0.5333333333333333,0.0730118917385285,4.894265690780066e-13,0.8222222222222222,0.5333333333333333,0.8222222222222222,2.783706240451113e-12,4.89426546258442e-13,0.9999999999995106,0.3999781661248581,0.11830169913648035
33,C,,0,0.8222222222222222,0.5333333333333333,0.2174890363975649,0.9924781490473624,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.644907572217884,0.9924781490488758,0.0075218509511242315,3.028491585862583e-06,2.247373251484808e-06
34,C,,0,0.8222222222222222,0.5333333333333333,0.0641499407305979,0.9959195936805396,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.6644814407937,0.9959195936793357,0.004080406320664309,1.6372056976746103e-06,1.8465479111437812e-06
35,C,,0,0.8222222222222222,0.5333333333333333,0.19331752563224,0.9952993139880638,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.660953482492801,0.995299313988375,0.004700686011624988,1.887258452585678e-06,1.0650776951073683e-05
36,C,,0,0.8222222222222222,0.5333333333333333,0.2086735092904,0.9926287934886944,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.645764391016115,0.9926287934879671,0.007371206512032935,2.9673882864058667e-06,8.086618044667004e-06
37,C,,0,0.8222222222222222,0.5333333333333333,0.2027968034799184,0.9956686660277976,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.663054242217225,0.9956686660275746,0.004331333972425355,1.7383244333197327e-06,2.671303831234703e-06
38,C,,0,0.8222222222222222,0.5333333333333333,0.0212152829667745,0.9991031335987806,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.682588427444651,0.9991031335985072,0.0008968664014927796,3.5870954600987784e-07,2.568316235392907e-06
39,C,,0,0.8222222222222222,0.5333333333333333,0.1007493064537942,4.894265478193084e-13,0.8222222222222222,0.5333333333333333,0.8222222222222222,2.783706215799175e-12,4.894265419241797e-13,0.9999999999995106,0.3999781661248581,0.11830147978234823
40,C,,0,0.8222222222222222,0.5333333333333333,0.0030633249812013,0.9997386363503664,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.686202969774272,0.9997386363476782,0.0002613636523217666,1.0446829114905467e-07,2.241490881527883e-06
41,C,,0,0.8222222222222222,0.5333333333333333,0.0428619179249308,0.9966114676155278,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.668416604935241,0.9966114676158767,0.0033885323841232884,1.3586580783029866e-06,6.735742537305705e-06
42,C,,0,0.8222222222222222,0.5333333333333333,0.236642164595055,0.7818604311913359,0.8222222222222222,0.5333333333333333,0.8222222222222222,4.4469793845583325,0.7818604311905301,0.21813956880946994,0.00011145769790271954,6.026207540944244e-05
43,C,,0,0.8222222222222222,0.5333333333333333,0.3056676526085725,4.859308117230256e-13,0.8222222222222222,0.5333333333333333,0.8222222222222222,2.7638235409316826e-12,4.859308034912338e-13,0.999999999999514,0.3999781661262576,0.11836226670701479
44,C,,0,0.8222222222222222,0.5333333333333333,0.3771830952196156,0.9891921201115402,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.626217659841629,0.9891921201097371,0.010807879890262884,4.365972653165468e-06,3.4575911794684702e-06
45,C,,0,0.8222222222222222,0.5333333333333333,0.110799041909508,4.859307853340012e-13,0.8222222222222222,0.5333333333333333,0.8222222222222222,2.763823402803588e-12,4.859307792057847e-13,0.999999999999514,0.39997816612625764,0.11830149813368321
46,C,,0,0.8222222222222222,0.5333333333333333,0.0366103087594531,0.9961695140341412,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.66590291016921,0.9961695140326254,0.003830485967374564,1.5365434677981298e-06,6.859514694856893e-06
47,C,,0,0.8222222222222222,0.5333333333333333,0.0952234524110155,0.9953387257724448,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.661177644484323,0.995338725772463,0.004661274227537038,1.8713611552305876e-06,2.4686325363795527e-06
